Time [s], Left [V], Right [V]
0.007483, 0.004873, 0.004774
0.007506, 0.004774, 0.004661
0.007528, 0.004661, 0.004516
0.007551, 0.004516, 0.004378
0.007574, 0.004378, 0.004271
0.007596, 0.004271, 0.004036
0.007619, 0.004036, 0.003540
0.007642, 0.003540, 0.003356
0.007664, 0.003356, 0.003184
0.007687, 0.003184, 0.000000
0.007710, 0.002832, 0.002488
0.007732, 0.002488, 0.002282
0.007755, 0.002282, 0.002177
0.007778, 0.002177, 0.001441
0.007800, 0.001441, 0.000727
0.007823, 0.000727, 0.000350
0.007846, 0.000350, 0.000013
0.007868, 0.000013, -0.000285
0.007891, -0.000285, -0.000711
0.007914, -0.000711, -0.001011
0.007937, -0.001011, -0.001553
0.007959, -0.001553, -0.002104
0.007982, -0.002104, -0.002312
0.008005, -0.002312, -0.002767
0.008027, -0.002767, -0.003217
0.008050, -0.003217, -0.003510
0.008073, -0.003510, -0.003864
0.008095, -0.003864, -0.004073
0.008118, -0.004073, -0.004235
0.008141, -0.004235, -0.004325
0.008163, -0.004325, -0.004380
0.008186, -0.004380, -0.004808
0.008209, -0.004808, -0.005331
0.008231, -0.005331, -0.005505
0.008254, -0.005505, -0.005439
0.008277, -0.005439, -0.005471
0.008299, -0.005471, -0.005730
0.008322, -0.005730, -0.006098
0.008345, -0.006098, -0.006282
0.008367, -0.006282, -0.006084
0.008390, -0.006084, -0.005933
0.008413, -0.005933, -0.005969
0.008435, -0.005969, -0.005868
0.008458, -0.005868, -0.005751
0.008481, -0.005751, -0.005675
0.008503, -0.005675, -0.005411
0.008526, -0.005411, -0.005386
0.008549, -0.005386, -0.005412
0.008571, -0.005412, -0.005029
0.008594, -0.005029, -0.004723
0.008617, -0.004723, -0.004452
0.008639, -0.004452, -0.004298
0.008662, -0.004298, -0.004250
0.008685, -0.004250, -0.004285
0.008707, -0.004285, -0.004333
0.008730, -0.004333, -0.004293
0.008753, -0.004293, -0.004447
0.008776, -0.004447, -0.004584
0.008798, -0.004584, -0.004916
0.008821, -0.004916, -0.005217
0.008844, -0.005217, -0.005446
0.008866, -0.005446, -0.006014
0.008889, -0.006014, -0.006701
0.008912, -0.006701, -0.007090
0.008934, -0.007090, -0.007331
0.008957, -0.007331, -0.008019
0.008980, -0.008019, -0.008542
0.009002, -0.008542, -0.008686
0.009025, -0.008686, -0.009038
0.009048, -0.009038, -0.009479
0.009070, -0.009479, -0.009825
0.009093, -0.009825, -0.010145
0.009116, -0.010145, -0.010414
0.009138, -0.010414, -0.010845
0.009161, -0.010845, -0.011203
0.009184, -0.011203, -0.011264
0.009206, -0.011264, -0.011261
0.009229, -0.011261, -0.011468
0.009252, -0.011468, -0.011907
0.009274, -0.011907, -0.011939
0.009297, -0.011939, -0.012056
0.009320, -0.012056, -0.012165
0.009342, -0.012165, -0.012032
0.009365, -0.012032, -0.012043
0.009388, -0.012043, -0.011954
0.009410, -0.011954, -0.011948
0.009433, -0.011948, -0.011927
0.009456, -0.011927, -0.011921
0.009478, -0.011921, -0.011953
0.009501, -0.011953, -0.011907
0.009524, -0.011907, -0.011628
0.009546, -0.011628, -0.011435
0.009569, -0.011435, -0.011039
0.009592, -0.011039, -0.010483
0.009615, -0.010483, -0.010409
0.009637, -0.010409, -0.009985
0.009660, -0.009985, -0.009396
0.009683, -0.009396, -0.008872
0.009705, -0.008872, -0.008462
0.009728, -0.008462, -0.008093
0.009751, -0.008093, -0.007536
0.009773, -0.007536, -0.007101
0.009796, -0.007101, -0.006616
0.009819, -0.006616, -0.006232
0.009841, -0.006232, -0.005749
0.009864, -0.005749, -0.005219
0.009887, -0.005219, -0.004826
0.009909, -0.004826, -0.004395
0.009932, -0.004395, -0.004026
